2019-05-25 17:16:45 INFO  Car - Speed:   0.0; Angle:   WEST; Position:   2,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 214.0; Tile: ROAD
2019-05-25 17:16:45 INFO  Car - Speed:   0.0; Angle:   WEST; Position:   2,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 214.0; Tile: ROAD
2019-05-25 17:16:45 INFO  Car - Speed:   0.0; Angle:   WEST; Position:   2,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 214.0; Tile: ROAD
2019-05-25 17:16:45 INFO  Car - Speed:   0.0; Angle:   WEST; Position:   2,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 214.0; Tile: ROAD
2019-05-25 17:16:46 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   3,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 213.0; Tile: ROAD
2019-05-25 17:16:46 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   4,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 212.0; Tile: ROAD
2019-05-25 17:16:46 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   5,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 211.0; Tile: ROAD
2019-05-25 17:16:46 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   6,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 210.0; Tile: ROAD
2019-05-25 17:16:47 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   7,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 209.0; Tile: ROAD
2019-05-25 17:16:47 INFO  Car - Speed:   0.0; Angle:   WEST; Position:   7,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 209.0; Tile: ROAD
2019-05-25 17:16:47 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   6,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 208.0; Tile: ROAD
2019-05-25 17:16:47 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   5,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 207.0; Tile: ROAD
